cnf_file,category,priority_folder,DLIS,watched_literals,expected_result,actual_result,correct,exit_code,timed_out,monitor_start_time,monitor_total_time,monitor_unit_propagation_time,monitor_clause_checks,monitor_variable_assignments,monitor_backtrack_count,monitor_state_copies,monitor_unit_propagation_rounds,monitor_unit_propagation_calls,monitor_current_recursion_depth,monitor_max_recursion_depth,stderr
test/sat/UF150.645.100/uf150-01.cnf,sat,sat/UF150.645.100/,0,0,SAT,SAT,TRUE,0,FALSE,1778078797.075221,12.782296,12.768022,392535796,2604715,152457,228700,425653,152476,0,41,
test/sat/UF150.645.100/uf150-02.cnf,sat,sat/UF150.645.100/,0,0,SAT,SAT,TRUE,0,FALSE,1778078809.863350,1.083282,1.081172,32638747,232623,14011,21045,37534,14045,0,41,
test/sat/UF150.645.100/uf150-03.cnf,sat,sat/UF150.645.100/,0,0,SAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/sat/UF150.645.100/uf150-04.cnf,sat,sat/UF150.645.100/,0,0,SAT,SAT,TRUE,0,FALSE,1778079111.046574,58.923733,58.849841,2088875607,13356225,828239,1242389,2315324,828274,0,40,
test/sat/UF150.645.100/uf150-05.cnf,sat,sat/UF150.645.100/,0,0,SAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/sat/UF150.645.100/uf150-06.cnf,sat,sat/UF150.645.100/,0,0,SAT,SAT,TRUE,0,FALSE,1778079470.076744,137.582232,137.215779,4260711517,30140669,1867752,2801656,4801345,1867787,0,44,
test/sat/UF150.645.100/uf150-07.cnf,sat,sat/UF150.645.100/,0,0,SAT,SAT,TRUE,0,FALSE,1778079607.663320,63.889911,63.757165,2029287324,13253615,870308,1305486,2224258,870339,0,41,
test/sat/UF150.645.100/uf150-08.cnf,sat,sat/UF150.645.100/,0,0,SAT,SAT,TRUE,0,FALSE,1778079671.558341,2.427110,2.423435,73041923,504354,28810,43239,81574,28839,0,41,
test/sat/UF150.645.100/uf150-09.cnf,sat,sat/UF150.645.100/,0,0,SAT,SAT,TRUE,0,FALSE,1778079673.990078,285.260298,284.439098,9527004200,64219738,4263524,6395313,10725349,4263561,0,49,
test/sat/UF150.645.100/uf150-010.cnf,sat,sat/UF150.645.100/,0,0,SAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/sat/UF150.645.100/uf150-011.cnf,sat,sat/UF150.645.100/,0,0,SAT,SAT,TRUE,0,FALSE,1778080259.358395,0.935587,0.933891,32481566,209751,11955,17966,33865,11992,0,37,
test/sat/UF150.645.100/uf150-012.cnf,sat,sat/UF150.645.100/,0,0,SAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/sat/UF150.645.100/uf150-013.cnf,sat,sat/UF150.645.100/,0,0,SAT,SAT,TRUE,0,FALSE,1778080560.445605,170.028443,169.776855,5277551424,34083188,2212950,3319445,5870646,2212975,0,45,
test/sat/UF150.645.100/uf150-014.cnf,sat,sat/UF150.645.100/,0,0,SAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/sat/UF150.645.100/uf150-015.cnf,sat,sat/UF150.645.100/,0,0,SAT,SAT,TRUE,0,FALSE,1778081030.545931,247.034628,246.605217,7692881653,52495413,3232513,4848802,8710808,3232554,0,52,
test/sat/UF150.645.100/uf150-016.cnf,sat,sat/UF150.645.100/,0,0,SAT,SAT,TRUE,0,FALSE,1778081277.585353,72.089245,72.004611,2294318425,14329513,896676,1345048,2464847,896714,0,42,
