cnf_file,category,priority_folder,DLIS,watched_literals,expected_result,actual_result,correct,exit_code,timed_out,monitor_start_time,monitor_total_time,monitor_unit_propagation_time,monitor_clause_checks,monitor_variable_assignments,monitor_backtrack_count,monitor_state_copies,monitor_unit_propagation_rounds,monitor_unit_propagation_calls,monitor_current_recursion_depth,monitor_max_recursion_depth,stderr
test/unsat/UUF150.645.100/uuf150-01.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNSAT,TRUE,0,FALSE,1778079876.848044,34.235927,0.000000,4455496,31080639,2003356,0,0,0,0,0,
test/unsat/UUF150.645.100/uuf150-02.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-03.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-04.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNSAT,TRUE,0,FALSE,1778080511.247699,45.897946,0.000000,3209070,40314308,2710800,0,0,0,0,0,
test/unsat/UUF150.645.100/uuf150-05.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNSAT,TRUE,0,FALSE,1778080557.150165,12.109745,0.000000,991692,10834119,701794,0,0,0,0,0,
test/unsat/UUF150.645.100/uuf150-06.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-07.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNSAT,TRUE,0,FALSE,1778080869.368267,55.795171,0.000000,6102438,50982391,3295368,0,0,0,0,0,
test/unsat/UUF150.645.100/uuf150-08.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNSAT,TRUE,0,FALSE,1778080925.168386,145.215984,0.000000,19269630,127531081,8430854,0,0,0,0,0,
test/unsat/UUF150.645.100/uuf150-09.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-010.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNSAT,TRUE,0,FALSE,1778081370.480279,189.173700,0.000000,22425894,181822528,11143892,0,0,0,0,0,
test/unsat/UUF150.645.100/uuf150-011.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNSAT,TRUE,0,FALSE,1778081559.659537,153.193506,0.000000,10715432,143999658,8877966,0,0,0,0,0,
test/unsat/UUF150.645.100/uuf150-012.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNSAT,TRUE,0,FALSE,1778081712.857180,59.412390,0.000000,5205594,55136181,3508684,0,0,0,0,0,
test/unsat/UUF150.645.100/uuf150-013.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNSAT,TRUE,0,FALSE,1778081772.274447,179.985045,0.000000,17040760,156156184,10566040,0,0,0,0,0,
test/unsat/UUF150.645.100/uuf150-014.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNSAT,TRUE,0,FALSE,1778081952.263891,84.013639,0.000000,12603794,74610654,4907456,0,0,0,0,0,
test/unsat/UUF150.645.100/uuf150-015.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNSAT,TRUE,0,FALSE,1778082036.282592,187.767085,0.000000,21507302,165861885,10843342,0,0,0,0,0,
test/unsat/UUF150.645.100/uuf150-016.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNSAT,TRUE,0,FALSE,1778082224.055688,20.786706,0.000000,3770398,19231066,1214592,0,0,0,0,0,
test/unsat/UUF150.645.100/uuf150-017.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNSAT,TRUE,0,FALSE,1778082244.861607,113.306263,0.000000,7005218,101998794,6577362,0,0,0,0,0,
test/unsat/UUF150.645.100/uuf150-018.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNSAT,TRUE,0,FALSE,1778082358.173891,166.287081,0.000000,14747946,144017709,9711852,0,0,0,0,0,
test/unsat/UUF150.645.100/uuf150-019.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNSAT,TRUE,0,FALSE,1778082524.465278,253.019217,0.000000,22058720,232096778,14662500,0,0,0,0,0,
test/unsat/UUF150.645.100/uuf150-020.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNSAT,TRUE,0,FALSE,1778082777.490019,244.962152,0.000000,15799654,225581462,14340614,0,0,0,0,0,
test/unsat/UUF150.645.100/uuf150-021.cnf,unsat,unsat/UUF150.645.100/,0,1,UNSAT,UNSAT,TRUE,0,FALSE,1778083022.456331,55.515048,0.000000,6433926,48240003,3232952,0,0,0,0,0,
