cnf_file,category,priority_folder,DLIS,watched_literals,expected_result,actual_result,correct,exit_code,timed_out,monitor_start_time,monitor_total_time,monitor_unit_propagation_time,monitor_peak_memory_kb,monitor_clause_checks,monitor_variable_assignments,monitor_backtrack_count,monitor_state_copies,monitor_unit_propagation_rounds,monitor_unit_propagation_calls,monitor_current_recursion_depth,monitor_max_recursion_depth,stderr
test/sat/UF150.645.100/uf150-01.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166908.378103,0.169309,0.004330,4036,8742,49670,2812,4251,37600,2847,0,36,
test/sat/UF150.645.100/uf150-02.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166908.552187,0.299926,0.012165,4076,11228,145678,8197,12326,107743,8230,0,35,
test/sat/UF150.645.100/uf150-03.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166908.861518,10.882387,1.487059,4096,235772,2583564,147544,221342,1896968,147574,0,41,
test/sat/UF150.645.100/uf150-04.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166919.842644,0.002260,0.000054,3944,3752,320,13,65,279,60,0,47,
test/sat/UF150.645.100/uf150-05.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166919.942628,1.302327,0.102372,4000,20948,179167,10968,16482,129373,11002,0,34,
test/sat/UF150.645.100/uf150-06.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166921.342623,0.204955,0.003654,3892,10568,39507,1987,3014,30041,2023,0,36,
test/sat/UF150.645.100/uf150-07.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166921.643617,0.599641,0.008189,4224,8976,91235,5434,8172,67384,5459,0,32,
test/sat/UF150.645.100/uf150-08.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166922.246818,0.096070,0.000147,4176,3376,1063,55,125,886,100,0,45,
test/sat/UF150.645.100/uf150-09.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166922.347556,0.494908,0.093169,4248,9144,69655,3769,5690,51650,3809,0,40,
test/sat/UF150.645.100/uf150-010.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166922.847222,0.095992,0.092325,4012,5078,2492,145,247,1908,177,0,32,
test/sat/UF150.645.100/uf150-011.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166922.947413,0.094956,0.000061,4048,2492,274,3,46,261,47,0,44,
test/sat/UF150.645.100/uf150-012.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166923.045867,10.100073,1.914527,4324,174968,1303515,80189,120318,948264,80227,0,41,
test/sat/UF150.645.100/uf150-013.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166933.241768,0.202949,0.002540,3972,5112,29832,1714,2613,21957,1758,0,44,
test/sat/UF150.645.100/uf150-014.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166933.542507,8.399666,1.064980,4136,69746,856106,52578,78895,621468,52609,0,38,
test/sat/UF150.645.100/uf150-015.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166941.946183,0.397859,0.005568,3960,8190,62173,3429,5175,47058,3463,0,38,
test/sat/UF150.645.100/uf150-016.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166942.347285,0.094099,0.000046,4316,1726,334,11,61,301,57,0,46,
test/sat/UF150.645.100/uf150-017.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166942.444116,0.603039,0.007502,4176,8604,84248,5264,7933,62602,5305,0,41,
test/sat/UF150.645.100/uf150-018.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166943.051515,1.199296,0.015895,4108,20384,133266,7429,11178,99655,7465,0,38,
test/sat/UF150.645.100/uf150-019.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166944.344184,1.500631,0.196311,4080,22802,260231,15101,22680,190731,15134,0,36,
test/sat/UF150.645.100/uf150-020.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166945.941472,0.007304,0.000438,4092,4014,3893,243,407,3005,287,0,44,
test/sat/UF150.645.100/uf150-021.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166946.041384,0.004232,0.000354,4160,2094,3741,179,307,2926,220,0,41,
test/sat/UF150.645.100/uf150-022.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166946.047991,0.193984,0.000781,4044,5734,8120,533,830,6506,566,0,40,
test/sat/UF150.645.100/uf150-023.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166946.246443,0.099284,0.001328,3780,4250,14791,835,1271,11076,856,0,31,
test/sat/UF150.645.100/uf150-024.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166946.442373,0.001976,0.000064,3940,2736,477,22,66,406,57,0,35,
test/sat/UF150.645.100/uf150-025.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166946.448122,0.799153,0.099443,4052,17778,136790,7663,11515,101210,7688,0,34,
test/sat/UF150.645.100/uf150-026.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166947.343132,0.604081,0.101882,4056,11124,100820,5871,8834,74205,5902,0,34,
test/sat/UF150.645.100/uf150-027.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166948.044633,0.098013,0.089965,3852,3708,9887,592,913,7502,620,0,29,
test/sat/UF150.645.100/uf150-028.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166948.147792,2.000030,0.119912,3932,31090,315822,19197,28820,233533,19225,0,35,
test/sat/UF150.645.100/uf150-029.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166950.242520,0.002476,0.000139,3844,4658,1202,61,126,913,97,0,36,
test/sat/UF150.645.100/uf150-030.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166950.249288,0.199709,0.090881,3836,9416,31363,1760,2667,23737,1790,0,30,
test/sat/UF150.645.100/uf150-031.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166950.453211,0.890686,0.100605,4296,15398,144681,8393,12627,107762,8435,0,42,
test/sat/UF150.645.100/uf150-032.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166951.348452,2.299841,0.301647,4052,27048,387417,22272,33433,277599,22301,0,29,
test/sat/UF150.645.100/uf150-033.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166953.742515,4.400653,0.671998,4088,57710,667564,37293,55958,485813,37316,0,35,
test/sat/UF150.645.100/uf150-034.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166958.147877,0.100382,0.001011,3912,4104,10872,748,1154,8221,783,0,35,
test/sat/UF150.645.100/uf150-035.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166958.342523,1.300580,0.018419,3780,17840,217428,12400,18624,157617,12427,0,31,
test/sat/UF150.645.100/uf150-036.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166959.647295,3.096477,0.305484,3692,120526,506431,29136,43724,363694,29159,0,34,
test/sat/UF150.645.100/uf150-037.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166962.841353,0.802332,0.185153,4520,10890,120486,6974,10512,90443,7031,0,57,
test/sat/UF150.645.100/uf150-038.cnf,sat,sat/UF150.645.100,1,1,SAT,SAT,TRUE,0,FALSE,1778166963.648117,6.997223,0.723451,3820,120348,1125865,63668,95532,823593,63702,0,36,
