cnf_file,category,priority_folder,DLIS,watched_literals,expected_result,actual_result,correct,exit_code,timed_out,monitor_start_time,monitor_total_time,monitor_unit_propagation_time,monitor_peak_memory_kb,monitor_clause_checks,monitor_variable_assignments,monitor_backtrack_count,monitor_state_copies,monitor_unit_propagation_rounds,monitor_unit_propagation_calls,monitor_current_recursion_depth,monitor_max_recursion_depth,stderr
test/unsat/UUF50.218.1000/uuf50-01.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166924.444850,0.006469,0.006074,1896,332836,4144,476,714,1050,477,0,14,
test/unsat/UUF50.218.1000/uuf50-02.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166924.547285,0.098157,0.097759,2008,278711,3735,438,657,940,439,0,16,
test/unsat/UUF50.218.1000/uuf50-03.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166924.650506,0.095761,0.004375,1864,237256,3242,394,591,795,395,0,15,
test/unsat/UUF50.218.1000/uuf50-04.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166924.842669,0.004946,0.004380,1900,238198,3079,330,495,765,331,0,12,
test/unsat/UUF50.218.1000/uuf50-05.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166924.945491,0.007554,0.006965,1896,377040,5027,564,846,1238,565,0,13,
test/unsat/UUF50.218.1000/uuf50-06.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166925.046269,0.198955,0.198369,1840,607972,7672,958,1437,2086,959,0,18,
test/unsat/UUF50.218.1000/uuf50-07.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166925.343709,0.103604,0.103018,1824,681779,8593,1044,1566,2270,1045,0,18,
test/unsat/UUF50.218.1000/uuf50-08.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166925.545662,0.205283,0.204414,1976,1590384,21168,2906,4359,5502,2907,0,20,
test/unsat/UUF50.218.1000/uuf50-09.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166925.844879,0.298679,0.297718,1928,1616746,19504,2810,4215,5602,2811,0,19,
test/unsat/UUF50.218.1000/uuf50-010.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166926.241606,0.006865,0.006316,1916,335752,4237,532,798,1099,533,0,19,
test/unsat/UUF50.218.1000/uuf50-011.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166926.345014,0.100290,0.099743,1868,634974,7809,1004,1506,2138,1005,0,17,
test/unsat/UUF50.218.1000/uuf50-012.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166926.542614,0.199011,0.198385,1864,776066,10605,1200,1800,2577,1201,0,17,
test/unsat/UUF50.218.1000/uuf50-013.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166926.744914,0.004437,0.004037,1956,209011,2628,304,456,696,305,0,16,
test/unsat/UUF50.218.1000/uuf50-014.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166926.845522,0.102717,0.102230,1928,792585,9276,1194,1791,2583,1195,0,16,
test/unsat/UUF50.218.1000/uuf50-015.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166927.044767,0.006875,0.006459,1836,334592,3965,480,720,1120,481,0,17,
test/unsat/UUF50.218.1000/uuf50-016.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166927.145832,0.102493,0.101929,1952,749984,8992,1328,1992,2624,1329,0,18,
test/unsat/UUF50.218.1000/uuf50-017.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166927.345697,0.097062,0.096644,1920,439957,4917,654,981,1418,655,0,14,
test/unsat/UUF50.218.1000/uuf50-018.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166927.447351,0.099830,0.099343,1976,254669,3283,394,591,851,395,0,15,
test/unsat/UUF50.218.1000/uuf50-019.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166927.644810,0.097715,0.097231,2008,443026,5650,664,996,1456,665,0,16,
test/unsat/UUF50.218.1000/uuf50-020.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166927.747728,0.099084,0.098509,1816,341958,4463,516,774,1114,517,0,17,
test/unsat/UUF50.218.1000/uuf50-021.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166927.945310,0.007718,0.007255,1924,395083,4349,528,792,1246,529,0,16,
test/unsat/UUF50.218.1000/uuf50-022.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166928.044509,0.098978,0.098580,1896,508523,6736,792,1188,1666,793,0,16,
test/unsat/UUF50.218.1000/uuf50-023.cnf,unsat,unsat/UUF50.218.1000,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778166928.155100,0.188954,0.102394,1904,484866,5962,740,1110,1607,741,0,17,
