cnf_file,category,priority_folder,DLIS,watched_literals,expected_result,actual_result,correct,exit_code,timed_out,monitor_start_time,monitor_total_time,monitor_unit_propagation_time,monitor_clause_checks,monitor_variable_assignments,monitor_backtrack_count,monitor_state_copies,monitor_unit_propagation_rounds,monitor_unit_propagation_calls,monitor_current_recursion_depth,monitor_max_recursion_depth,stderr
test/unsat/UUF150.645.100/uuf150-01.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778079287.542550,159.402462,159.109641,4806232186,30988573,2003356,3005034,5326756,2003357,0,44,
test/unsat/UUF150.645.100/uuf150-02.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-03.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-04.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778080047.154620,187.804352,187.475567,6164641977,40466515,2710800,4066200,6570534,2710801,0,40,
test/unsat/UUF150.645.100/uuf150-05.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778080234.963622,51.025629,50.859280,1621670206,10749354,701794,1052691,1770603,701795,0,37,
test/unsat/UUF150.645.100/uuf150-06.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-07.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778080586.059288,251.910311,251.393183,7947909152,50909870,3295368,4943052,8709711,3295369,0,52,
test/unsat/UUF150.645.100/uuf150-08.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-09.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-010.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-011.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-012.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778082038.346089,259.095791,258.530659,8217798868,55653046,3508684,5263026,9045455,3508685,0,45,
test/unsat/UUF150.645.100/uuf150-013.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-014.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-015.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-016.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778083197.687272,95.697089,95.515914,2960829653,19301984,1214592,1821888,3234651,1214593,0,39,
test/unsat/UUF150.645.100/uuf150-017.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-018.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-019.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-020.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-021.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778084493.753661,243.904306,243.137917,7482162222,48216910,3232952,4849428,8445720,3232953,0,45,
test/unsat/UUF150.645.100/uuf150-022.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-023.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778085037.687407,80.705508,80.560678,2597982433,16805499,1040914,1561371,2829110,1040915,0,40,
test/unsat/UUF150.645.100/uuf150-024.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-025.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778085418.445503,92.330231,92.166997,3041411125,19664453,1229246,1843869,3288602,1229247,0,40,
test/unsat/UUF150.645.100/uuf150-026.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNKNOWN,FALSE,,TRUE,,,,,,,,,,,,
test/unsat/UUF150.645.100/uuf150-027.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778085810.847415,183.603859,183.081611,5559430565,36618599,2257028,3385542,6110087,2257029,0,44,
test/unsat/UUF150.645.100/uuf150-028.cnf,unsat,unsat/UUF150.645.100/,0,0,UNSAT,UNSAT,TRUE,0,FALSE,1778085994.456080,244.392714,243.873901,7842294745,51386250,3350440,5025660,8537178,3350441,0,43,
