cnf_file,category,priority_folder,DLIS,watched_literals,expected_result,actual_result,correct,exit_code,timed_out,monitor_start_time,monitor_total_time,monitor_unit_propagation_time,monitor_clause_checks,monitor_variable_assignments,monitor_backtrack_count,monitor_state_copies,monitor_unit_propagation_rounds,monitor_unit_propagation_calls,monitor_current_recursion_depth,monitor_max_recursion_depth,stderr
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_0.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1778001855.409708,0.003960,0.003209,182885,1472,199,316,495,219,0,22,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_1.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1778001855.417526,0.017369,0.015641,843551,8119,813,1242,2277,839,0,26,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_2.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1778001855.439107,0.147768,0.136453,7448421,76945,6580,9884,19340,6599,0,25,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_3.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1778001855.590571,0.010786,0.009667,430744,4645,390,604,1191,412,0,22,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_4.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1778001855.605399,0.015351,0.013868,759031,7624,686,1057,2079,717,0,31,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_5.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1778001855.623260,0.035764,0.032636,1746249,18546,1466,2225,4333,1495,0,29,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_6.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1778001855.662948,0.107385,0.098955,5481106,54315,4938,7432,14370,4967,0,29,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_7.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1778001855.774110,0.050139,0.045951,2560177,26261,2416,3642,6768,2436,0,24,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_8.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1778001855.827834,0.154498,0.142679,7760171,80293,6798,10212,19880,6817,0,28,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_9.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1778001855.987051,0.002753,0.002030,113315,1023,80,139,281,102,0,22,
test/unsat/UUF50.218.1000/uuf50-01.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1778001855.992937,0.002524,0.001974,106742,1345,154,231,357,155,0,13,
test/unsat/UUF50.218.1000/uuf50-02.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1778001855.998426,0.001538,0.001056,58016,688,84,126,195,85,0,12,
test/unsat/UUF50.218.1000/uuf50-03.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1778001856.002927,0.001567,0.001146,62013,766,88,132,198,89,0,11,
test/unsat/UUF50.218.1000/uuf50-04.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1778001856.006728,0.002919,0.002362,127111,1578,178,267,415,179,0,13,
test/unsat/UUF50.218.1000/uuf50-05.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1778001856.012052,0.002521,0.001974,103330,1463,158,237,354,159,0,14,
test/unsat/UUF50.218.1000/uuf50-06.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1778001856.016698,0.002992,0.002343,125172,1636,176,264,404,177,0,12,
test/unsat/UUF50.218.1000/uuf50-07.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1778001856.022059,0.002925,0.002256,121342,1569,170,255,397,171,0,12,
test/unsat/UUF50.218.1000/uuf50-08.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1778001856.028363,0.001988,0.001350,76759,1025,112,168,249,113,0,12,
test/unsat/UUF50.218.1000/uuf50-09.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1778001856.034389,0.001890,0.001359,75462,972,116,174,250,117,0,11,
test/unsat/UUF50.218.1000/uuf50-010.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1778001856.039559,0.001565,0.000982,55201,720,76,114,181,77,0,9,
