cnf_file,category,priority_folder,DLIS,watched_literals,expected_result,actual_result,correct,exit_code,timed_out,monitor_start_time,monitor_total_time,monitor_unit_propagation_time,monitor_clause_checks,monitor_variable_assignments,monitor_backtrack_count,monitor_state_copies,monitor_unit_propagation_rounds,monitor_unit_propagation_calls,monitor_current_recursion_depth,monitor_max_recursion_depth,stderr
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_0.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1777997512.686912,0.005841,0.004887,182885,1472,218,316,495,219,0,22,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_1.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1777997512.698352,0.016064,0.014487,843551,8119,838,1242,2277,839,0,26,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_2.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1777997512.718316,0.144816,0.134475,7448421,76945,6598,9884,19340,6599,0,25,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_3.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1777997512.866664,0.009021,0.007984,430744,4645,411,604,1191,412,0,22,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_4.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1777997512.878566,0.014708,0.013429,759031,7624,716,1057,2079,717,0,31,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_5.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1777997512.895543,0.034446,0.031689,1746249,18546,1494,2225,4333,1495,0,29,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_6.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1777997512.932346,0.104911,0.097267,5481106,54315,4966,7432,14370,4967,0,29,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_7.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1777997513.039846,0.049369,0.045609,2560177,26261,2435,3642,6768,2436,0,24,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_8.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1777997513.091745,0.151796,0.141127,7760171,80293,6816,10212,19880,6817,0,28,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_9.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1777997513.247407,0.002634,0.001990,113315,1023,101,139,281,102,0,22,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_10.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1777997513.253787,0.008781,0.007820,435279,4356,388,573,1204,389,0,24,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_11.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1777997513.266020,0.151372,0.141532,8175218,89495,6874,10301,20886,6875,0,27,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_12.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1777997513.421268,0.025917,0.023755,1322199,14026,1134,1692,3408,1135,0,24,
test/sat/BMS_k3_n100_m429/BMS_k3_n100_m429_13.cnf,sat,sat/BMS_k3_n100_m429,1,0,SAT,SAT,TRUE,0,FALSE,1777997513.450368,0.004032,0.003336,184342,1860,154,216,463,155,0,26,
test/unsat/UUF50.218.1000/uuf50-01.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1777997513.457725,0.002780,0.002251,106742,1345,154,231,357,155,0,13,
test/unsat/UUF50.218.1000/uuf50-02.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1777997513.463371,0.001595,0.001022,58016,688,84,126,195,85,0,12,
test/unsat/UUF50.218.1000/uuf50-03.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1777997513.468163,0.001713,0.001098,62013,766,88,132,198,89,0,11,
test/unsat/UUF50.218.1000/uuf50-04.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1777997513.473131,0.003022,0.002326,127111,1578,178,267,415,179,0,13,
test/unsat/UUF50.218.1000/uuf50-05.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1777997513.478863,0.002555,0.001953,103330,1463,158,237,354,159,0,14,
test/unsat/UUF50.218.1000/uuf50-06.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1777997513.484359,0.003062,0.002278,125172,1636,176,264,404,177,0,12,
test/unsat/UUF50.218.1000/uuf50-07.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1777997513.490242,0.002730,0.002188,121342,1569,170,255,397,171,0,12,
test/unsat/UUF50.218.1000/uuf50-08.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1777997513.495465,0.001835,0.001364,76759,1025,112,168,249,113,0,12,
test/unsat/UUF50.218.1000/uuf50-09.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1777997513.499849,0.001826,0.001376,75462,972,116,174,250,117,0,11,
test/unsat/UUF50.218.1000/uuf50-010.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1777997513.503947,0.001462,0.000989,55201,720,76,114,181,77,0,9,
test/unsat/UUF50.218.1000/uuf50-011.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1777997513.507605,0.002016,0.001437,84391,959,118,177,267,119,0,10,
test/unsat/UUF50.218.1000/uuf50-012.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1777997513.511832,0.001899,0.001410,77662,1084,116,174,260,117,0,11,
test/unsat/UUF50.218.1000/uuf50-013.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1777997513.515820,0.002692,0.002096,112550,1661,166,249,379,167,0,13,
test/unsat/UUF50.218.1000/uuf50-014.cnf,unsat,unsat/UUF50.218.1000,1,0,UNSAT,UNSAT,TRUE,0,FALSE,1777997513.520702,0.001637,0.001085,61914,798,94,141,196,95,0,11,
